mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10634207725524902,0.003806978766681315,0.05451122919718424,0.00826538492822557,True,gini,10,sqrt,1,2,10,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.7906976744186046,0.6904761904761905,0.7380952380952381,0.7397563676633444,0.04093210617992044,1753
0.13532272974650064,0.006252400396765812,0.058034261067708336,0.0041259737808999886,True,gini,10,sqrt,1,2,20,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",0.7674418604651163,0.7619047619047619,0.8095238095238095,0.7796234772978959,0.021263227499320303,449
0.22246972719828287,0.01312055115031104,0.1412664254506429,0.06871069267108885,True,gini,10,sqrt,1,2,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30}",0.7209302325581395,0.7619047619047619,0.8809523809523809,0.7879291251384274,0.06787106700927123,101
0.30193090438842773,0.0068328302925388116,0.0668319861094157,0.01542667403946712,True,gini,10,sqrt,1,2,50,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.6976744186046512,0.7380952380952381,0.8571428571428571,0.7643041712809154,0.06768912692844084,889
0.646861712137858,0.09024159237061996,0.12501041094462076,0.025074422187734327,True,gini,10,sqrt,1,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7441860465116279,0.7619047619047619,0.8571428571428571,0.7877445551864156,0.0496022946688544,135
1.3537588119506836,0.051477616210706775,0.12276085217793782,0.02259572855394421,True,gini,10,sqrt,1,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7441860465116279,0.7619047619047619,0.8571428571428571,0.7877445551864156,0.0496022946688544,135
0.12930425008138022,0.015791021314326546,0.08135406176249187,0.03643303366259772,True,gini,10,sqrt,1,5,10,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.7209302325581395,0.7142857142857143,0.7380952380952381,0.724437061646364,0.01003150848409097,1811
0.2641407648722331,0.015541592197807435,0.10633397102355957,0.037774537860406715,True,gini,10,sqrt,1,5,20,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",0.7674418604651163,0.7619047619047619,0.8333333333333334,0.7875599852344038,0.03244548671496136,227
0.30891839663187665,0.03246450273107613,0.13160061836242676,0.05321341414404897,True,gini,10,sqrt,1,5,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 30}",0.7441860465116279,0.7619047619047619,0.8095238095238095,0.7718715393133998,0.027589349488453013,587
0.36037691434224445,0.01668524383597836,0.09928051630655925,0.01001887796369083,True,gini,10,sqrt,1,5,50,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.7441860465116279,0.7619047619047619,0.8095238095238095,0.7718715393133998,0.027589349488453013,587
0.5723036924997965,0.038649466845416015,0.0705734093983968,0.011046483107477485,True,gini,10,sqrt,1,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7674418604651163,0.7380952380952381,0.8571428571428571,0.7875599852344038,0.050640156058219365,227
1.017461617787679,0.0346456857127403,0.09454687436421712,0.00578214557839956,True,gini,10,sqrt,1,5,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7441860465116279,0.7619047619047619,0.8571428571428571,0.7877445551864156,0.0496022946688544,135
0.08497158686319987,0.0046399540649837605,0.046097517013549805,0.006350098612379126,True,gini,10,sqrt,1,10,10,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",0.6976744186046512,0.7142857142857143,0.7142857142857143,0.70874861572536,0.007830639880249695,1903
0.1445918083190918,0.02586165899450095,0.06175080935160319,0.009054505487708541,True,gini,10,sqrt,1,10,20,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 20}",0.6976744186046512,0.7857142857142857,0.7619047619047619,0.7484311554078996,0.03718340224880579,1437
