Date,Open,High,Low,Close,Adj Close,Volume,ticker
2010-01-04,227.5,230.0,227.5,229.1199951171875,192.48880004882812,11031470,SBIN.NS
2010-01-05,230.8000030517578,231.0,228.00999450683594,229.2050018310547,192.56021118164062,11613740,SBIN.NS
2010-01-06,229.6999969482422,231.5,228.5,230.5800018310547,193.71539306640625,14527930,SBIN.NS
2010-01-07,230.60000610351562,231.0,228.11000061035156,229.2899932861328,192.631591796875,8576510,SBIN.NS
2010-01-08,229.39999389648438,230.38999938964844,228.00999450683594,228.60499572753906,192.05613708496094,10453820,SBIN.NS
2010-01-11,229.6999969482422,231.27000427246094,226.3249969482422,226.72000122070312,190.4724884033203,14145340,SBIN.NS
2010-01-12,226.6999969482422,227.0,219.6199951171875,220.32000732421875,185.0957489013672,22917720,SBIN.NS
2010-01-13,219.5,219.5,215.80999755859375,217.58999633789062,182.80215454101562,21719690,SBIN.NS
2010-01-14,218.8000030517578,219.89999389648438,214.55499267578125,215.73500061035156,181.2437744140625,20723990,SBIN.NS
2010-01-15,216.8000030517578,217.83999633789062,213.67999267578125,214.3350067138672,180.06761169433594,20611920,SBIN.NS
2010-01-18,217.5,218.30499267578125,214.27999877929688,215.63999938964844,181.16395568847656,19222170,SBIN.NS
2010-01-19,216.97999572753906,218.6999969482422,215.6999969482422,217.30999755859375,182.5669708251953,12277070,SBIN.NS
2010-01-20,218.39999389648438,218.66000366210938,215.2550048828125,215.98500061035156,181.45379638671875,16830720,SBIN.NS
2010-01-21,215.89999389648438,216.1300048828125,211.22999572753906,212.41000366210938,178.4503631591797,19265470,SBIN.NS
2010-01-22,210.01499938964844,210.64999389648438,205.30499267578125,208.73500061035156,175.36288452148438,27193180,SBIN.NS
2010-01-25,205.55499267578125,213.6999969482422,205.55499267578125,209.16000366210938,175.71995544433594,15378040,SBIN.NS
2010-01-27,206.0,206.83999633789062,197.11000061035156,198.76499938964844,166.98687744140625,38068910,SBIN.NS
2010-01-28,210.0,210.0,199.10000610351562,200.3249969482422,168.2974853515625,27952460,SBIN.NS
2010-01-29,199.0,206.74000549316406,195.5050048828125,205.66000366210938,172.77957153320312,46487190,SBIN.NS
2010-02-01,214.8000030517578,214.8000030517578,201.5500030517578,202.125,169.80972290039062,22047160,SBIN.NS
2010-02-02,203.02000427246094,204.52000427246094,197.4149932861328,197.8350067138672,166.2056121826172,24086260,SBIN.NS
2010-02-03,198.6300048828125,201.58999633789062,198.35000610351562,199.8800048828125,167.92364501953125,30450710,SBIN.NS
2010-02-04,199.60000610351562,199.6699981689453,194.0,194.7899932861328,163.64736938476562,35357120,SBIN.NS
2010-02-05,193.0,193.0,186.30999755859375,189.77999877929688,160.26113891601562,26878830,SBIN.NS
2010-02-08,190.0,194.77999877929688,188.36500549316406,193.65499877929688,163.5334014892578,18885130,SBIN.NS
2010-02-09,193.10000610351562,195.8000030517578,192.5,195.02999877929688,164.69454956054688,13836980,SBIN.NS
2010-02-10,197.0,197.0,189.5,191.18499755859375,161.44760131835938,19731930,SBIN.NS
2010-02-11,192.38999938964844,194.0,191.10000610351562,191.76499938964844,161.93740844726562,12427940,SBIN.NS
2010-02-15,192.5,192.5,188.6300048828125,189.5,160.02468872070312,13325010,SBIN.NS
2010-02-16,191.39999389648438,192.5,189.5,192.05999755859375,162.1864776611328,8070150,SBIN.NS
2010-02-17,193.5,196.25,192.72500610351562,195.68499755859375,165.24766540527344,13468360,SBIN.NS
2010-02-18,195.7899932861328,196.0,192.72999572753906,194.24000549316406,164.02743530273438,13103230,SBIN.NS
2010-02-19,192.5,193.39999389648438,189.0050048828125,190.52999877929688,160.8944854736328,15863020,SBIN.NS
2010-02-22,192.0,193.5,191.01499938964844,191.63499450683594,161.8275909423828,11528650,SBIN.NS
2010-02-23,191.49000549316406,193.4499969482422,190.66000366210938,191.19000244140625,161.45184326171875,10625770,SBIN.NS
2010-02-24,190.60000610351562,193.0,190.0,192.125,162.24139404296875,8173590,SBIN.NS
2010-02-25,192.5,193.0,190.33999633789062,191.36500549316406,161.599609375,21615960,SBIN.NS
2010-02-26,192.5,203.1999969482422,191.5,197.42999267578125,166.7212371826172,43215190,SBIN.NS
2010-03-02,199.05499267578125,201.10000610351562,197.4199981689453,198.6649932861328,167.76412963867188,19347350,SBIN.NS
2010-03-03,198.91000366210938,202.58999633789062,198.91000366210938,202.24000549316406,170.78309631347656,15843680,SBIN.NS
2010-03-04,202.3000030517578,204.47000122070312,201.1999969482422,203.27000427246094,171.65286254882812,14301070,SBIN.NS
2010-03-05,204.5,205.89999389648438,202.11000061035156,204.72000122070312,172.8773193359375,12685070,SBIN.NS
2010-03-08,206.0,211.25,203.30999755859375,206.59500122070312,174.460693359375,38664790,SBIN.NS
