Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,40.33333206176758,42.666664123535156,40.20000076293945,42.133331298828125,39.093711853027344,201696168
2021-01-04,43.0,43.93333435058594,42.29999923706055,43.766666412353516,40.60921859741211,105614565
2021-01-05,43.33333206176758,44.416664123535156,43.0,43.83333206176758,40.67106246948242,64361523
2021-01-06,44.0,45.133331298828125,43.21666717529297,44.383331298828125,41.181400299072266,74098809
2021-01-07,44.79999923706055,45.0,43.766666412353516,43.916664123535156,40.74838638305664,46011027
2021-01-08,44.349998474121094,44.58333206176758,43.849998474121094,44.03333282470703,40.85663986206055,19906347
2021-01-11,44.266666412353516,45.18333435058594,43.18333435058594,44.86666488647461,41.62985610961914,42426342
2021-01-12,44.983333587646484,45.31666564941406,44.46666717529297,44.81666564941406,41.58346176147461,32608233
2021-01-13,44.849998474121094,45.900001525878906,44.150001525878906,44.68333435058594,41.45975112915039,38455479
2021-01-14,44.916664123535156,47.0,44.849998474121094,46.383331298828125,43.03710174560547,94302666
2021-01-15,46.233333587646484,46.5,44.133331298828125,44.483333587646484,41.2741813659668,44817729
2021-01-18,44.61666488647461,45.08333206176758,42.766666412353516,44.516666412353516,41.30510711669922,53634528
2021-01-19,44.849998474121094,46.06666564941406,44.70000076293945,45.68333435058594,42.38761901855469,64391526
2021-01-20,45.78333282470703,46.31666564941406,44.96666717529297,45.166664123535156,41.9082145690918,39771243
2021-01-21,45.5,45.93333435058594,44.099998474121094,44.633331298828125,41.413352966308594,31082454
2021-01-22,44.5,45.166664123535156,43.633331298828125,44.11666488647461,40.93396759033203,30823161
2021-01-25,44.58333206176758,44.916664123535156,42.96666717529297,43.56666564941406,40.42363739013672,22702206
2021-01-27,43.666664123535156,44.79999923706055,43.599998474121094,44.233333587646484,41.04220962524414,55897923
2021-01-28,43.666664123535156,44.900001525878906,43.28333282470703,43.733333587646484,40.578285217285156,49918659
2021-01-29,43.599998474121094,45.416664123535156,42.33333206176758,43.349998474121094,40.22261047363281,77617473
2021-02-01,43.33333206176758,44.93333435058594,41.86666488647461,44.56666564941406,41.351497650146484,47400000
2021-02-02,44.916664123535156,45.599998474121094,43.79999923706055,44.5,41.289634704589844,32215686
2021-02-03,44.733333587646484,47.06666564941406,44.71666717529297,46.36666488647461,43.021644592285156,63440358
2021-02-04,46.58333206176758,47.266666412353516,45.68333435058594,46.983333587646484,43.59382629394531,55032168
2021-02-05,47.33333206176758,47.733333587646484,46.233333587646484,46.733333587646484,43.36185836791992,29863140
2021-02-08,47.06666564941406,47.666664123535156,46.5,46.916664123535156,43.971038818359375,31927191
2021-02-09,47.150001525878906,47.33333206176758,45.79999923706055,45.983333587646484,43.09632110595703,48306774
2021-02-10,46.29999923706055,47.45000076293945,46.11666488647461,46.61666488647461,43.68988037109375,33662136
2021-02-11,46.43333435058594,46.83333206176758,44.86666488647461,45.133331298828125,42.299678802490234,35392794
